decay_delta,inserted_swaps,additional_cnot_equivalent_gates,output_cnot_equivalent_count,output_depth,normalized_cnot_count,normalized_depth,runtime_sec,hardware_compliant
0,65,195,295,160,2.950000,4.102564,0.002371,True
0.001,66,198,298,142,2.980000,3.641026,0.002453,True
0.005,66,198,298,142,2.980000,3.641026,0.002428,True
0.01,66,198,298,142,2.980000,3.641026,0.002410,True
0.02,66,198,298,142,2.980000,3.641026,0.002343,True
0.05,66,198,298,142,2.980000,3.641026,0.002369,True
0.1,66,198,298,142,2.980000,3.641026,0.002362,True
0.2,66,198,298,142,2.980000,3.641026,0.002385,True
0.5,67,201,301,142,3.010000,3.641026,0.002393,True
1,67,201,301,142,3.010000,3.641026,0.002500,True
