time,overlap,probability_mean,probability_sem
1.0,0,1.158714114298508e-06,1.7828140417986212e-07
1.0,1,0.000735899244193574,7.801309541951041e-05
1.0,2,0.9911518283579627,0.0010467559621829005
1.79,0,8.133111136668206e-06,1.4580184192167499e-06
1.79,1,0.0018586773590655522,0.0002155627761047879
1.79,2,0.9775738750241634,0.0032911754389538684
29.29,0,0.000582123584917948,0.00016482147281913286
29.29,1,0.015656269543830176,0.0044807206531258205
29.29,2,0.8033929117002687,0.052047480776736474
100.0,0,0.0005274182500227115,0.00014824465235196204
100.0,1,0.01447607989456555,0.004575850333671054
100.0,2,0.8183757675148728,0.06185438037925839
1000.0,0,0.0007564812351524866,0.00018838544216450228
1000.0,1,0.02111165775524883,0.0060090281118473175
1000.0,2,0.7353128884097268,0.07807774012240687
