segment,start_fraction,stop_fraction,duration_fraction,amplitude
1,0.0,0.009566679518374442,0.009566679518374442,1.0
2,0.009566679518374442,0.04022478972933015,0.030658110210955707,-0.84
3,0.04022478972933015,0.07678678896322783,0.03656199923389768,1.0
4,0.07678678896322783,0.12811998508974098,0.05133319612651316,-0.84
5,0.12811998508974098,0.17556427152075021,0.04744428643100923,1.0
6,0.17556427152075021,0.2351421242349434,0.05957785271419319,-0.84
7,0.2351421242349434,0.2870772283318985,0.05193510409695512,1.0
8,0.2870772283318985,0.3500719022348293,0.06299467390293079,-0.84
9,0.3500719022348293,0.4037261875664505,0.0536542853316212,1.0
10,0.4037261875664505,0.4675759585968843,0.06384977103043377,-0.84
11,0.4675759585968843,0.5208333888694658,0.05325743027258156,1.0
12,0.5208333888694658,0.581689742570907,0.06085635370144116,-0.84
13,0.581689742570907,0.6258094619395712,0.04411971936866421,1.0
14,0.6258094619395712,0.6571712239590056,0.031361762019434414,-0.84
15,0.6571712239590056,0.677531435124719,0.020360211165713404,1.0
16,0.677531435124719,0.719897984886711,0.042366549761991945,-0.84
17,0.719897984886711,0.7660972258087129,0.046199240922001894,1.0
18,0.7660972258087129,0.8171223074670806,0.05102508165836772,-0.84
19,0.8171223074670806,0.8311601991258116,0.014037891658731039,1.0
20,0.8311601991258116,0.8405597740918046,0.009399574965992974,-0.84
21,0.8405597740918046,0.8751651204043375,0.03460534631253287,1.0
22,0.8751651204043375,0.9243228521232335,0.049157731718896036,-0.84
23,0.9243228521232335,0.960227209569402,0.03590435744616849,1.0
24,0.960227209569402,0.9905245134380503,0.030297303868648262,-0.84
25,0.9905245134380503,1.0,0.009475486561949742,1.0
